RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
58.577,25.521,51.383,98.828,38.53,18.93,24.139,27.35,172.704,6.188,101.497,10.355,195.306,98.828,79.158,4.103,30.314,27.352,102.601,70.908,Agtron 65
87.151,41.564,80.537,139.351,49.86,22.562,31.189,33.611,171.431,6.627,111.837,11.664,184.497,139.351,77.583,3.026,29.108,33.611,101.759,70.087,Agtron 75
79.604,36.14,72.941,129.73,48.048,20.678,30.118,33.838,171.431,6.627,110.103,11.48,189.098,129.73,77.941,2.334,26.867,33.838,101.759,70.087,Agtron 75
70.785,31.809,63.521,117.025,44.355,18.621,27.603,32.914,171.431,6.627,106.045,10.878,190.23,117.025,77.573,2.25,26.456,32.914,101.759,70.087,Agtron 75
79.367,36.647,72.903,128.551,47.317,20.681,29.69,33.492,171.431,6.627,109.12,11.537,187.272,128.551,77.241,2.517,27.617,33.492,101.759,70.087,Agtron 75
79.679,35.87,72.889,130.279,47.968,20.306,29.535,33.052,171.431,6.627,110.504,11.473,189.759,130.279,78.059,2.21,26.506,33.052,101.759,70.087,Agtron 75
79.844,37.269,73.221,129.041,48.039,21.353,31.006,35.058,171.431,6.627,109.07,11.427,186.74,129.041,77.32,2.377,27.109,35.058,101.759,70.087,Agtron 75
81.084,37.29,74.409,131.552,48.038,20.482,29.266,33.725,171.431,6.627,110.205,11.551,187.512,131.552,77.414,2.23,25.917,33.725,101.759,70.087,Agtron 75
30.585,25.967,27.989,37.797,29.947,28.443,28.866,31.114,190.817,10.828,67.752,48.24,116.87,38.147,69.754,67.526,73.464,31.153,114.227,73.439,Agtron 25
26.865,23.5,24.54,32.556,28.438,27.25,27.536,29.601,190.817,10.828,69.162,63.718,110.785,32.983,71.319,73.536,76.811,29.677,114.227,73.439,Agtron 25
29.244,24.665,26.665,36.4,29.398,27.871,28.25,30.643,190.817,10.828,68.268,50.669,117.36,36.774,70.965,69.011,75.43,30.73,114.227,73.439,Agtron 25
28.72,24.525,26.107,35.529,28.501,27.378,27.415,29.411,190.817,10.828,68.59,54.105,115.721,35.943,70.693,70.211,75.482,29.471,114.227,73.439,Agtron 25
37.199,29.943,33.792,47.862,29.276,28.203,28.111,28.42,188.247,10.603,64.421,17.243,128.078,47.942,66.924,40.714,66.402,28.632,113.025,72.375,Agtron 25
35.009,27.798,31.607,45.623,27.793,26.482,26.655,27.007,188.247,10.603,64.365,15.98,131.462,45.652,67.964,39.234,66.271,27.07,113.025,72.375,Agtron 25
34.352,27.329,30.985,44.742,27.35,25.844,26.131,26.921,188.247,10.603,64.089,16.657,130.836,44.775,67.608,40.567,65.263,27.01,113.025,72.375,Agtron 25
25.725,21.664,24.665,30.847,23.279,22.0,22.656,24.179,166.174,19.792,53.869,25.128,105.521,30.958,62.028,45.53,69.706,24.321,120.503,53.963,Agtron 25
26.018,21.846,24.84,31.367,24.033,23.004,23.39,24.679,166.174,19.792,55.737,24.387,111.347,31.477,63.782,44.544,70.278,24.846,120.503,53.963,Agtron 25
25.41,19.385,24.562,32.283,22.857,20.743,22.073,23.782,166.174,19.792,61.143,19.001,132.072,32.357,67.813,32.147,67.493,23.91,120.503,53.963,Agtron 25
27.561,22.08,26.581,34.023,25.117,23.648,24.433,25.762,166.174,19.792,59.979,20.743,125.08,34.114,66.693,36.495,69.964,25.893,120.503,53.963,Agtron 25
24.112,20.029,23.64,28.666,23.598,21.857,22.955,25.066,165.418,13.57,52.873,29.906,99.635,29.08,61.719,43.974,74.618,25.416,111.982,56.796,Agtron 25
24.924,21.029,24.194,29.549,25.091,23.822,24.43,26.215,165.418,13.57,54.665,32.667,101.235,30.093,62.485,48.339,73.525,26.726,111.982,56.796,Agtron 25
24.942,23.477,23.632,27.716,25.458,25.194,24.811,26.125,165.418,13.57,62.332,67.068,90.902,29.027,62.455,66.103,68.23,27.003,111.982,56.796,Agtron 25
25.175,23.744,23.741,28.039,24.841,24.205,24.068,25.956,165.418,13.57,63.756,70.629,91.177,29.463,61.632,65.446,66.615,26.45,111.982,56.796,Agtron 25
42.027,28.398,38.679,59.005,26.519,21.079,23.267,25.277,190.33,10.607,72.763,10.233,149.045,59.01,67.007,11.887,52.639,25.29,113.409,73.382,Agtron 35
40.927,27.626,37.672,57.483,27.545,22.241,24.772,26.576,190.33,10.607,73.086,10.617,151.142,57.5,68.455,14.221,53.927,26.638,113.409,73.382,Agtron 35
