ID,Device,Height,Width,Num_sample,Lighting_condition,R_mean,G_mean,B_mean,Paper_R_mean,Paper_G_mean,Paper_B_mean,H_mean,S_mean,V_mean,Paper_H_mean,Paper_S_mean,Paper_V_mean,Agtron_value,File,Path
102,Xiaomi Mi9,882,882,3,Flash,30,60,92,197,202,203,106,180,92,95,8,203,65,65_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\65_3.png
103,Xiaomi Mi9,820,820,1,Flash,31,60,90,198,203,206,106,178,90,98,10,206,75,75_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\75_1.png
104,Xiaomi Mi9,882,882,2,Flash,36,76,115,198,203,204,105,183,115,95,8,204,75,75_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\75_2.png
105,Xiaomi Mi9,882,882,3,Flash,33,67,103,197,202,203,106,182,103,95,8,203,75,75_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\75_3.png
106,Xiaomi Mi9,820,820,1,Flash,33,64,91,198,203,206,104,170,91,98,10,206,85,85_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\85_1.png
107,Xiaomi Mi9,882,882,2,Flash,42,86,125,198,203,204,105,178,125,95,8,204,85,85_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\85_2.png
108,Xiaomi Mi9,882,882,2,Flash,60,103,131,198,203,204,102,147,131,95,8,204,95,95_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\95_2.png
109,Lumix,923,968,2,Luz,28,32,41,177,170,169,113,83,41,3,12,177,25,25_2.png,.\photos\Lumix\Luz\Cafe\25_2.png
110,Lumix,923,968,3,Luz,27,28,30,177,172,171,101,36,31,8,10,177,25,25_3.png,.\photos\Lumix\Luz\Cafe\25_3.png
111,Lumix,923,968,2,Luz,28,40,57,177,170,169,108,137,57,3,12,177,35,35_2.png,.\photos\Lumix\Luz\Cafe\35_2.png
112,Lumix,923,968,3,Luz,24,32,45,177,172,171,109,123,45,8,10,177,35,35_3.png,.\photos\Lumix\Luz\Cafe\35_3.png
113,Lumix,923,968,2,Luz,28,51,75,177,170,169,106,165,75,3,12,177,45,45_2.png,.\photos\Lumix\Luz\Cafe\45_2.png
114,Lumix,923,968,3,Luz,29,42,61,177,172,171,108,138,61,8,10,177,45,45_3.png,.\photos\Lumix\Luz\Cafe\45_3.png
115,Lumix,923,968,2,Luz,28,56,82,177,170,169,105,173,82,3,12,177,55,55_2.png,.\photos\Lumix\Luz\Cafe\55_2.png
116,Lumix,923,968,3,Luz,29,53,81,177,172,171,106,169,81,8,10,177,55,55_3.png,.\photos\Lumix\Luz\Cafe\55_3.png
117,Lumix,923,968,2,Luz,30,64,95,177,170,169,104,181,95,3,12,177,65,65_2.png,.\photos\Lumix\Luz\Cafe\65_2.png
118,Lumix,923,968,3,Luz,27,62,92,177,172,171,104,185,92,8,10,177,65,65_3.png,.\photos\Lumix\Luz\Cafe\65_3.png
119,Lumix,923,968,2,Luz,30,78,114,177,170,169,103,194,114,3,12,177,75,75_2.png,.\photos\Lumix\Luz\Cafe\75_2.png
120,Lumix,923,968,3,Luz,31,75,109,177,172,171,103,189,109,8,10,177,75,75_3.png,.\photos\Lumix\Luz\Cafe\75_3.png
121,Lumix,923,968,2,Luz,38,88,123,177,170,169,102,182,123,3,12,177,85,85_2.png,.\photos\Lumix\Luz\Cafe\85_2.png
122,Lumix,923,968,2,Luz,57,106,129,177,170,169,100,149,129,3,12,177,95,95_2.png,.\photos\Lumix\Luz\Cafe\95_2.png
123,Lumix,855,923,2,Flash,75,79,104,250,244,244,118,77,104,88,6,250,25,25_2.png,.\photos\Lumix\Flash\Cafe\25_2.png
124,Lumix,855,923,3,Flash,70,67,76,251,246,245,135,39,77,7,6,251,25,25_3.png,.\photos\Lumix\Flash\Cafe\25_3.png
125,Lumix,855,923,2,Flash,84,103,141,250,244,244,111,106,141,88,6,250,35,35_2.png,.\photos\Lumix\Flash\Cafe\35_2.png
126,Lumix,855,923,3,Flash,89,101,132,251,246,245,113,86,132,7,6,251,35,35_3.png,.\photos\Lumix\Flash\Cafe\35_3.png
127,Lumix,855,923,2,Flash,86,118,165,250,244,244,108,125,165,88,6,250,45,45_2.png,.\photos\Lumix\Flash\Cafe\45_2.png
128,Lumix,855,923,3,Flash,87,107,147,251,246,245,110,107,147,7,6,251,45,45_3.png,.\photos\Lumix\Flash\Cafe\45_3.png
129,Lumix,855,923,2,Flash,85,121,170,250,244,244,108,131,170,88,6,250,55,55_2.png,.\photos\Lumix\Flash\Cafe\55_2.png
130,Lumix,855,923,3,Flash,90,121,171,251,246,245,108,124,171,7,6,251,55,55_3.png,.\photos\Lumix\Flash\Cafe\55_3.png
131,Lumix,855,923,2,Flash,80,125,176,250,244,244,106,142,176,88,6,250,65,65_2.png,.\photos\Lumix\Flash\Cafe\65_2.png
132,Lumix,855,923,3,Flash,82,124,172,251,246,245,106,136,172,7,6,251,65,65_3.png,.\photos\Lumix\Flash\Cafe\65_3.png
133,Lumix,855,923,2,Flash,81,135,188,250,244,244,105,148,188,88,6,250,75,75_2.png,.\photos\Lumix\Flash\Cafe\75_2.png
134,Lumix,855,923,3,Flash,86,135,187,251,246,245,105,140,187,7,6,251,75,75_3.png,.\photos\Lumix\Flash\Cafe\75_3.png
135,Lumix,855,923,2,Flash,91,147,196,250,244,244,104,141,196,88,6,250,85,85_2.png,.\photos\Lumix\Flash\Cafe\85_2.png
136,Lumix,855,923,2,Flash,119,169,200,250,244,244,101,105,200,88,6,250,95,95_2.png,.\photos\Lumix\Flash\Cafe\95_2.png
